Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,0,Not Graduate,No,98516,29151,323,360,1,Urban,Y
Female,Yes,3,Graduate,No,90684,13542,154,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,14708,32973,309,480,1,Rural,Y
Female,Yes,2,Graduate,No,17578,39097,136,120,1,Urban,Y
Male,Yes,2,Graduate,No,48981,56731,163,180,1,Rural,Y
Male,No,1,Graduate,No,84554,5546,337,120,1,Urban,Y
Male,Yes,0,Graduate,Yes,71614,52344,131,180,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,48505,19416,295,360,0,Urban,N
Male,No,3,Graduate,No,49915,6396,87,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,29336,57198,258,240,1,Rural,Y
Female,No,1,Not Graduate,Yes,62379,1207,323,300,1,Semiurban,Y
Female,Yes,3,Graduate,Yes,118509,3396,251,240,1,Urban,Y
Male,Yes,0,Graduate,No,96800,41503,269,240,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,33614,3847,171,360,1,Urban,Y
Female,Yes,2,Not Graduate,No,60631,37252,289,360,1,Rural,Y
Male,No,0,Graduate,No,17635,2179,287,300,0,Semiurban,N
Female,Yes,0,Graduate,No,29965,2873,213,240,1,Semiurban,Y
Female,No,0,Graduate,No,94656,9192,111,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,55276,26092,257,240,1,Rural,Y
Female,Yes,1,Graduate,No,65398,24896,56,240,0,Urban,Y
Female,No,0,Graduate,No,50840,7354,128,360,0,Semiurban,N
Male,Yes,2,Graduate,No,15561,4653,241,480,1,Urban,Y
Male,Yes,1,Graduate,No,24306,20711,266,180,1,Semiurban,Y
Female,Yes,0,Graduate,No,54781,20158,276,360,1,Urban,Y
Female,No,1,Graduate,No,103015,7660,348,180,1,Urban,Y
Male,No,3,Graduate,No,68980,12183,203,360,1,Urban,Y
Female,Yes,0,Graduate,No,105517,39798,303,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,109791,45486,294,360,0,Urban,N
Female,Yes,0,Graduate,No,33488,1673,234,300,1,Urban,Y
Male,Yes,1,Graduate,No,29466,13784,339,480,1,Urban,Y
Male,No,3,Graduate,No,118886,6468,285,300,0,Semiurban,N
Female,Yes,1,Graduate,No,32899,14669,323,360,1,Urban,Y
Male,Yes,0,Graduate,No,12017,4276,266,360,1,Rural,Y
Female,Yes,0,Graduate,No,91252,38731,318,180,1,Rural,Y
Female,Yes,0,Graduate,No,102445,22419,114,360,1,Rural,Y
Female,Yes,2,Graduate,No,40984,8147,65,120,0,Rural,N
Male,Yes,0,Not Graduate,No,93974,47494,127,480,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,16426,26111,255,480,1,Urban,Y
Female,Yes,1,Graduate,No,16528,21958,210,240,1,Urban,Y
Female,Yes,2,Graduate,No,50995,47705,77,180,1,Urban,Y
Female,Yes,2,Graduate,No,67082,9025,240,360,1,Rural,Y
Male,Yes,0,Graduate,No,78631,43408,232,360,1,Rural,Y
Female,No,2,Graduate,No,53295,9748,298,360,1,Semiurban,Y
Male,No,2,Graduate,No,87276,13740,327,360,0,Semiurban,N
Male,Yes,3,Graduate,Yes,109005,40646,211,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,28719,8636,163,480,1,Urban,Y
Male,Yes,2,Graduate,No,81948,52794,88,360,0,Urban,Y
Female,Yes,0,Graduate,Yes,21598,11957,280,300,1,Rural,Y
Male,Yes,0,Graduate,No,51870,32617,203,240,0,Semiurban,N
Female,Yes,1,Graduate,No,79291,50747,306,360,0,Urban,N
Female,Yes,1,Graduate,No,83651,55562,198,180,1,Urban,Y
Male,No,0,Graduate,No,60506,6566,206,300,0,Semiurban,N
Female,Yes,2,Graduate,No,70172,40863,187,360,1,Urban,Y
Male,No,3,Not Graduate,No,38388,6471,111,180,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,54290,23352,213,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,54962,49257,233,360,1,Rural,Y
Male,Yes,1,Graduate,Yes,80652,29255,222,360,0,Rural,N
Male,Yes,0,Graduate,No,45469,21305,104,240,0,Rural,N
Female,Yes,1,Graduate,No,12647,9418,153,240,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,17491,47853,82,300,0,Semiurban,N
Male,No,0,Not Graduate,No,39808,8399,260,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,113824,57190,192,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,90168,31771,344,360,1,Urban,Y
Male,Yes,0,Graduate,No,81026,863,202,300,1,Urban,Y
Female,No,1,Not Graduate,No,13856,9388,214,300,1,Urban,Y
Female,Yes,3,Graduate,No,83893,2959,121,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,42574,5899,231,480,1,Rural,Y
Female,Yes,1,Not Graduate,No,52917,10064,70,240,1,Semiurban,Y
Female,Yes,1,Graduate,No,26900,43011,208,180,0,Semiurban,N
Male,Yes,1,Not Graduate,Yes,91478,20971,316,360,1,Rural,Y
Female,Yes,1,Graduate,No,34061,58425,269,120,1,Semiurban,Y
Female,No,2,Graduate,No,74988,4792,314,240,0,Semiurban,N
Male,Yes,0,Graduate,No,96179,59949,94,300,0,Semiurban,Y
Male,Yes,1,Graduate,Yes,62001,53957,235,360,1,Semiurban,Y
Male,No,3,Graduate,No,30928,3605,292,180,1,Rural,Y
Male,No,3,Graduate,No,87131,927,68,360,1,Rural,Y
Female,No,3,Graduate,No,70723,911,332,240,1,Semiurban,Y
Female,No,0,Not Graduate,No,53151,5142,153,360,1,Rural,Y
Male,No,2,Graduate,Yes,88439,1061,214,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,65082,54183,331,240,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,74781,26122,90,240,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,55743,48380,95,360,0,Urban,N
Female,No,2,Graduate,No,118886,13245,63,360,1,Rural,Y
Female,No,2,Graduate,No,18170,7449,350,180,1,Urban,Y
Male,Yes,1,Graduate,No,104594,33513,273,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,78982,40251,261,360,1,Rural,Y
Male,Yes,2,Graduate,No,42949,48479,101,360,0,Semiurban,Y
Male,Yes,0,Graduate,No,112615,20859,275,360,1,Urban,Y
Male,Yes,1,Graduate,No,79708,17946,193,240,1,Rural,Y
Male,Yes,0,Graduate,No,18737,42690,102,360,0,Rural,N
Female,No,0,Graduate,No,54506,10285,251,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,82480,3502,122,240,0,Rural,N
Female,Yes,1,Graduate,No,87301,53097,200,120,1,Urban,Y
Female,No,1,Graduate,Yes,68623,3570,118,360,1,Rural,Y
Male,No,1,Not Graduate,No,104591,2624,125,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,60272,11554,205,360,0,Urban,N
Male,Yes,1,Not Graduate,No,84088,22738,180,360,1,Rural,Y
Male,No,3,Graduate,No,73727,11616,180,300,1,Urban,Y
Female,Yes,2,Not Graduate,No,109088,39961,108,300,1,Urban,Y
Male,No,0,Graduate,No,84327,1176,196,360,1,Rural,Y
Female,No,2,Graduate,No,104436,9679,180,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,28433,35128,257,240,1,Urban,Y
Male,No,0,Graduate,No,95154,5699,65,360,1,Urban,Y
Male,Yes,3,Graduate,No,28136,39307,243,480,1,Rural,Y
Male,Yes,0,Graduate,No,34792,53169,66,180,0,Urban,Y
Male,Yes,1,Graduate,No,39362,47526,274,480,1,Rural,Y
Female,Yes,2,Graduate,No,92513,4729,217,180,1,Rural,Y
Male,Yes,0,Graduate,No,57935,4106,284,300,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,62296,16143,300,360,1,Urban,Y
Female,No,1,Not Graduate,No,58663,9546,130,360,1,Semiurban,Y
Female,No,0,Graduate,No,115915,13342,330,300,0,Semiurban,N
Female,Yes,2,Not Graduate,No,114471,17765,197,480,1,Semiurban,Y
Female,Yes,1,Graduate,No,51412,30724,173,480,1,Rural,Y
Female,Yes,2,Graduate,No,50326,38027,151,180,1,Urban,Y
Female,Yes,1,Not Graduate,No,29565,57334,54,240,1,Urban,Y
Female,Yes,1,Graduate,No,103536,34625,241,360,1,Semiurban,Y
Female,No,0,Graduate,Yes,24071,1063,178,240,1,Semiurban,Y
Male,No,0,Not Graduate,Yes,71782,1594,73,360,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,96189,35908,51,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,35488,46316,150,120,1,Urban,Y
Male,Yes,1,Not Graduate,No,102620,21963,59,360,0,Urban,N
Female,No,0,Not Graduate,Yes,65589,7870,68,180,1,Urban,Y
Male,Yes,3,Graduate,No,38975,55627,315,180,1,Urban,Y
Male,Yes,0,Not Graduate,No,36142,43570,140,120,1,Semiurban,Y
Male,No,2,Not Graduate,No,26925,12421,156,240,1,Urban,Y
Male,Yes,1,Graduate,No,27301,52206,159,240,1,Urban,Y
Female,Yes,0,Graduate,No,64393,19556,202,360,1,Urban,Y
Female,Yes,1,Graduate,No,19144,47820,348,480,1,Rural,Y
Female,Yes,3,Graduate,No,84108,41744,234,240,1,Urban,Y
Female,No,0,Graduate,No,64990,6077,220,360,1,Semiurban,Y
Female,No,1,Graduate,No,19940,10151,263,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,49819,57550,276,360,0,Rural,N
Female,Yes,0,Graduate,No,88095,45792,258,180,1,Rural,Y
Female,No,0,Graduate,No,110956,6361,302,480,1,Urban,Y
Female,Yes,1,Not Graduate,No,66833,12878,330,480,1,Urban,Y
Female,Yes,0,Graduate,No,87726,1712,261,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,111472,35807,89,300,1,Urban,Y
Male,Yes,3,Graduate,No,72542,5792,64,240,1,Urban,Y
Male,Yes,1,Graduate,No,12533,6253,190,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,27443,8638,112,480,1,Urban,Y
Female,No,1,Graduate,No,30894,12266,346,480,1,Urban,Y
Female,Yes,1,Not Graduate,No,26271,30147,121,360,1,Rural,Y
Female,Yes,1,Graduate,No,99155,5237,106,240,1,Rural,Y
Female,Yes,0,Graduate,No,15352,26980,331,240,1,Semiurban,Y
Male,Yes,1,Graduate,No,86870,1804,108,300,1,Semiurban,Y
Female,No,0,Not Graduate,No,42359,4459,189,240,0,Semiurban,N
Female,Yes,0,Graduate,No,25158,18444,73,360,1,Semiurban,Y
Male,No,3,Not Graduate,No,40378,617,87,480,0,Urban,N
Female,Yes,0,Graduate,No,98205,5441,62,120,1,Rural,Y
Male,No,0,Graduate,No,66687,13979,263,480,1,Semiurban,Y
Male,No,0,Graduate,Yes,50270,2365,112,480,1,Urban,Y
Female,Yes,0,Graduate,Yes,53844,12942,88,300,1,Semiurban,Y
Male,Yes,3,Graduate,No,83243,25045,80,180,1,Urban,Y
Male,No,0,Not Graduate,No,24813,9551,208,480,0,Rural,N
Female,No,2,Graduate,No,80256,9103,95,240,1,Rural,Y
Female,No,0,Graduate,No,103383,1230,159,480,1,Semiurban,Y
Female,Yes,3,Graduate,Yes,84628,51682,90,120,1,Urban,Y
Male,Yes,1,Not Graduate,No,34193,16351,127,180,1,Urban,Y
Male,Yes,0,Graduate,No,98960,28399,144,300,1,Urban,Y
Female,Yes,3,Graduate,No,108940,20439,88,120,1,Urban,Y
Male,No,1,Graduate,No,48165,8529,319,480,1,Urban,Y
Female,Yes,3,Graduate,No,16014,24198,104,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,59718,51006,308,240,1,Rural,Y
Female,Yes,0,Graduate,No,111669,42821,235,300,1,Urban,Y
Male,Yes,2,Graduate,No,97709,17986,106,360,1,Rural,Y
Female,No,0,Not Graduate,No,113977,13238,102,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,117409,49787,101,300,1,Urban,Y
Female,Yes,1,Graduate,No,115906,43227,132,180,1,Urban,Y
Male,Yes,0,Graduate,No,32387,34472,148,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,71293,39671,109,240,0,Urban,Y
Male,No,0,Graduate,No,113489,5151,149,300,1,Semiurban,Y
Male,Yes,1,Graduate,No,13003,51874,273,240,1,Rural,Y
Female,No,1,Graduate,No,80706,3936,64,180,1,Rural,Y
Male,No,0,Graduate,No,55178,3974,204,180,1,Rural,Y
Male,No,0,Graduate,No,71524,4715,115,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,85301,42105,62,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,106204,29139,178,480,0,Rural,N
Female,Yes,0,Not Graduate,No,57151,59963,302,360,1,Urban,Y
Male,Yes,0,Graduate,No,66932,39501,270,360,1,Urban,Y
Male,Yes,2,Graduate,No,107405,3176,248,300,1,Urban,Y
Female,Yes,3,Graduate,No,70216,27156,97,480,1,Semiurban,Y
Female,Yes,1,Graduate,No,14686,33556,193,240,1,Semiurban,Y
Male,Yes,2,Graduate,No,113432,54877,305,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,44837,11410,158,300,1,Urban,Y
Male,Yes,0,Graduate,No,44322,57219,253,360,1,Urban,Y
Female,Yes,3,Not Graduate,No,77403,36903,243,120,1,Urban,Y
Male,Yes,2,Graduate,Yes,116179,22147,199,300,0,Rural,N
Female,Yes,3,Graduate,No,18041,18319,60,480,1,Semiurban,Y
Male,No,2,Graduate,No,25003,7952,201,480,1,Rural,Y
Male,Yes,1,Graduate,No,27626,23539,173,360,0,Urban,N
Male,Yes,3,Graduate,No,28541,53700,231,360,0,Urban,N
Male,Yes,1,Graduate,No,119652,23481,53,240,1,Urban,Y
Male,Yes,0,Graduate,No,41582,32073,299,180,1,Urban,Y
Male,Yes,1,Graduate,Yes,31165,12072,224,300,1,Urban,Y
Female,Yes,2,Graduate,No,12322,47650,280,360,1,Rural,Y
Male,Yes,2,Graduate,No,40468,8959,169,180,1,Semiurban,Y
Female,No,1,Graduate,No,49961,7226,197,360,1,Rural,Y
Male,Yes,3,Graduate,No,103658,59797,103,480,1,Rural,Y
Female,No,2,Graduate,No,98354,7715,264,180,1,Semiurban,Y
Male,No,1,Graduate,Yes,98793,1215,80,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,94470,54126,294,360,1,Urban,Y
Male,Yes,1,Graduate,No,21386,56951,120,300,1,Semiurban,Y
Female,Yes,3,Graduate,No,31952,39732,209,240,1,Rural,Y
Male,Yes,0,Not Graduate,No,82500,37001,126,360,1,Urban,Y
Male,Yes,0,Graduate,No,61820,24902,156,180,1,Rural,Y
Female,Yes,2,Graduate,No,66097,22445,341,180,0,Rural,N
Male,Yes,0,Graduate,No,118761,25417,230,240,1,Urban,Y
Female,Yes,2,Graduate,No,20337,52788,123,300,0,Urban,Y
Female,Yes,2,Graduate,No,59897,44082,250,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,33585,18263,345,240,1,Urban,Y
Female,Yes,0,Graduate,No,28988,37190,264,300,1,Urban,Y
Male,Yes,2,Not Graduate,No,110394,29314,263,360,1,Rural,Y
Female,No,1,Graduate,No,101760,14374,187,360,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,31312,51604,150,240,1,Semiurban,Y
Male,Yes,0,Graduate,No,29949,24482,109,360,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,50352,29673,334,360,0,Rural,N
Male,No,0,Graduate,No,102887,919,340,360,1,Urban,Y
Female,Yes,2,Graduate,No,65345,41296,162,360,0,Rural,N
Female,Yes,0,Not Graduate,No,31863,1773,75,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,38678,13408,158,300,1,Semiurban,Y
Male,No,1,Not Graduate,No,91331,6643,305,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,49491,58369,272,360,1,Urban,Y
Female,No,0,Graduate,Yes,36614,2385,183,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,22150,7096,219,240,1,Urban,Y
Male,Yes,0,Not Graduate,No,87638,41872,68,240,1,Urban,Y
Male,Yes,0,Graduate,No,56555,4970,159,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,58171,33140,75,240,1,Urban,Y
Female,Yes,0,Graduate,Yes,118907,29543,331,240,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,91470,34545,336,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,116704,33905,266,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,38110,10474,261,180,0,Semiurban,N
Male,Yes,3,Graduate,No,58732,42180,326,180,1,Urban,Y
Male,Yes,0,Not Graduate,No,87825,43000,310,240,1,Semiurban,Y
Male,Yes,3,Graduate,No,17677,4360,219,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,12846,9936,313,300,1,Rural,Y
Male,Yes,1,Graduate,No,41095,16714,212,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,67898,6979,172,120,1,Rural,Y
Male,Yes,1,Graduate,No,13045,41871,283,360,1,Rural,Y
Male,No,2,Graduate,No,111046,1899,111,360,1,Urban,Y
Male,Yes,1,Graduate,No,12143,51133,81,120,0,Urban,N
Male,No,2,Graduate,No,100491,4755,300,240,1,Urban,Y
Female,No,2,Graduate,No,111272,10142,268,480,1,Semiurban,Y
Female,Yes,1,Graduate,No,64266,26387,283,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,14289,40304,237,240,0,Rural,N
Male,No,1,Graduate,No,72148,10225,152,480,1,Rural,Y
Male,No,0,Graduate,Yes,14785,5928,195,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,55090,2434,99,120,1,Rural,Y
Male,Yes,0,Graduate,No,85469,37474,156,360,0,Rural,N
Female,No,3,Graduate,No,78532,8198,155,300,0,Semiurban,Y
Male,Yes,1,Graduate,No,62384,15890,308,480,0,Urban,N
Female,Yes,0,Graduate,No,24008,32430,121,360,1,Urban,Y
Male,Yes,1,Graduate,No,33816,47225,305,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,63265,43520,75,180,1,Urban,Y
Male,Yes,1,Graduate,No,39324,53995,123,300,1,Rural,Y
Male,No,3,Graduate,No,42732,5247,265,360,0,Urban,N
Male,No,0,Graduate,No,89245,858,319,360,1,Urban,Y
Female,Yes,2,Not Graduate,No,119996,34845,72,240,1,Rural,Y
Female,Yes,0,Graduate,No,90661,49545,142,360,1,Semiurban,Y
Male,No,2,Graduate,No,23602,3972,263,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,57716,55905,342,300,1,Semiurban,Y
Female,No,2,Not Graduate,No,40873,1206,95,120,1,Semiurban,Y
Male,Yes,2,Graduate,No,77168,13290,279,360,1,Urban,Y
Male,No,0,Graduate,No,65502,12016,232,360,1,Urban,Y
Female,Yes,2,Graduate,No,64183,56998,114,360,1,Rural,Y
Female,No,1,Graduate,No,58862,402,94,360,1,Rural,Y
Male,Yes,1,Graduate,No,68656,28506,277,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,54580,11076,145,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,82183,6958,119,300,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,15268,35982,146,480,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,50129,8178,275,180,0,Urban,N
Female,Yes,0,Graduate,No,89362,56555,230,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,17161,3675,234,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,85554,54740,301,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,25326,47912,126,300,1,Semiurban,Y
Female,No,0,Graduate,No,15009,6578,226,180,1,Urban,Y
Male,Yes,0,Graduate,No,62389,11019,71,120,0,Semiurban,Y
Male,No,2,Not Graduate,No,97355,11642,266,180,1,Semiurban,Y
Female,Yes,3,Graduate,No,15261,45697,217,300,1,Urban,Y
Female,Yes,3,Not Graduate,No,65478,44452,303,240,1,Semiurban,Y
Female,No,1,Graduate,No,40687,4167,219,360,1,Semiurban,Y
Female,Yes,3,Graduate,No,47083,33205,151,360,1,Rural,Y
Female,Yes,3,Graduate,No,76818,14144,272,480,0,Semiurban,N
Male,Yes,3,Not Graduate,No,80750,30867,52,480,0,Urban,N
Male,No,2,Not Graduate,No,40631,10762,178,300,0,Semiurban,N
Female,No,0,Graduate,No,52055,5228,80,300,1,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,37830,18373,138,480,1,Rural,Y
Male,Yes,1,Not Graduate,No,30596,55347,211,240,1,Urban,Y
Male,Yes,3,Graduate,Yes,85281,23013,106,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,24348,20424,157,300,0,Urban,N
Female,Yes,2,Graduate,No,41333,49191,301,360,0,Urban,N
Male,No,2,Graduate,Yes,98090,5776,344,120,0,Urban,N
Female,Yes,1,Graduate,No,100558,24923,143,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,57686,19172,225,480,1,Rural,Y
Male,No,2,Graduate,No,54490,1536,90,300,0,Urban,N
Female,Yes,2,Graduate,No,112252,27386,119,300,1,Urban,Y
Female,Yes,1,Graduate,No,30402,55434,94,360,0,Urban,Y
Female,No,2,Graduate,No,45728,14466,101,240,1,Semiurban,Y
Male,Yes,2,Graduate,No,89221,40726,80,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,56043,4833,273,360,0,Urban,N
Male,No,2,Not Graduate,No,119595,2048,264,300,1,Urban,Y
Male,No,0,Not Graduate,No,81601,9110,321,480,1,Urban,Y
Male,Yes,2,Graduate,No,118942,15878,255,240,1,Semiurban,Y
Male,No,0,Graduate,Yes,59423,12568,239,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,94406,16958,149,360,1,Semiurban,Y
Female,Yes,3,Graduate,No,23082,58104,69,360,0,Semiurban,Y
Female,Yes,2,Graduate,Yes,31277,44782,349,180,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,71233,14000,132,360,0,Urban,N
Male,No,2,Graduate,No,32397,2567,100,360,1,Semiurban,Y
Male,No,1,Graduate,No,75444,1866,63,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,93100,55082,91,300,1,Urban,Y
Female,Yes,2,Graduate,Yes,96698,24725,316,240,1,Semiurban,Y
Male,No,0,Graduate,Yes,89915,5180,307,300,1,Urban,Y
Male,Yes,1,Graduate,No,65488,44881,285,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,43927,54401,331,360,1,Urban,Y
Female,Yes,0,Graduate,Yes,52698,10464,126,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,37819,44901,89,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,99499,44578,94,360,1,Rural,Y
Female,Yes,1,Graduate,No,96936,31856,269,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,74113,59855,54,300,1,Urban,Y
Female,No,0,Graduate,No,91515,5253,103,240,1,Semiurban,Y
Male,No,3,Graduate,Yes,46711,13083,205,300,0,Semiurban,N
Female,Yes,1,Graduate,No,90648,12193,282,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,67791,15762,349,300,1,Semiurban,Y
Female,No,1,Graduate,Yes,59638,8100,156,300,1,Rural,Y
Female,No,2,Graduate,No,40497,11262,197,360,0,Urban,N
Female,No,0,Graduate,No,12111,4863,106,180,1,Rural,Y
Female,Yes,2,Graduate,No,41722,7385,253,480,1,Urban,Y
Female,Yes,0,Graduate,No,82601,37052,248,360,0,Rural,N
Male,Yes,1,Not Graduate,Yes,48477,35473,162,300,1,Semiurban,Y
Female,No,2,Graduate,No,35740,12235,124,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,90421,14618,193,180,0,Urban,N
Male,Yes,0,Graduate,Yes,32562,18400,295,180,1,Urban,Y
Male,Yes,1,Not Graduate,No,19002,55573,295,300,1,Semiurban,Y
Female,No,1,Graduate,No,93825,9834,79,300,0,Urban,Y
Female,Yes,0,Not Graduate,No,66723,23327,314,360,1,Semiurban,Y
Male,No,3,Graduate,Yes,39690,10352,210,300,1,Rural,Y
Male,No,0,Graduate,No,58189,7350,141,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,23623,37614,158,360,1,Semiurban,Y
Male,Yes,3,Graduate,Yes,112087,13577,56,300,1,Semiurban,Y
Male,No,2,Graduate,No,102577,3186,265,480,0,Urban,N
Female,Yes,1,Graduate,Yes,17951,20347,78,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,67194,59231,170,360,0,Semiurban,Y
Male,Yes,3,Not Graduate,No,94852,10100,124,480,1,Rural,Y
Male,Yes,0,Not Graduate,No,36150,21146,335,360,1,Semiurban,Y
Female,No,3,Not Graduate,No,25932,13416,143,360,1,Urban,Y
Female,Yes,1,Graduate,Yes,39251,47404,334,240,1,Urban,Y
Male,No,1,Graduate,No,73642,9794,254,360,1,Rural,Y
Male,Yes,1,Graduate,No,115318,37964,325,300,1,Rural,Y
Male,Yes,2,Graduate,No,26104,30205,297,360,0,Urban,N
Male,Yes,1,Graduate,No,93487,30832,148,480,1,Semiurban,Y
Male,Yes,2,Graduate,No,104582,11813,206,180,1,Urban,Y
Female,Yes,1,Not Graduate,No,42085,53133,81,300,0,Urban,N
Male,Yes,0,Graduate,No,25091,42520,208,240,1,Rural,Y
Female,Yes,3,Graduate,No,44066,52986,238,120,1,Semiurban,Y
Female,No,3,Graduate,No,67810,10770,83,480,1,Urban,Y
Female,Yes,1,Graduate,No,104626,4256,148,300,1,Rural,Y
Male,Yes,0,Graduate,No,19314,33329,141,300,1,Rural,Y
Male,Yes,0,Graduate,No,35755,49109,345,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,67499,39318,138,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,83010,51277,148,360,1,Semiurban,Y
Male,No,0,Graduate,No,31503,4817,51,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,82621,39617,167,480,1,Semiurban,Y
Male,No,2,Graduate,No,45344,11987,69,360,1,Urban,Y
Female,Yes,0,Graduate,No,93293,8752,333,300,1,Urban,Y
Female,No,0,Not Graduate,No,111499,13968,336,360,0,Rural,N
Female,Yes,3,Not Graduate,No,13082,16301,341,300,0,Rural,N
Female,Yes,0,Graduate,No,73646,26532,218,120,1,Rural,Y
Male,Yes,2,Not Graduate,No,29874,36076,310,480,1,Urban,Y
Female,No,1,Graduate,No,68837,7040,280,360,1,Urban,Y
Male,Yes,0,Graduate,No,14916,57159,271,360,1,Urban,Y
Female,No,0,Not Graduate,No,80629,4271,279,180,1,Rural,Y
Female,Yes,0,Graduate,Yes,107416,33107,266,480,1,Urban,Y
Female,Yes,3,Graduate,No,103002,13597,238,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,14180,42317,221,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,46641,59063,141,360,1,Semiurban,Y
Male,No,2,Graduate,No,29046,5413,78,480,1,Urban,Y
Female,No,3,Graduate,No,61334,14328,204,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,85306,56896,76,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,112155,9260,274,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,31323,59411,300,300,1,Rural,Y
Male,No,1,Graduate,Yes,37467,12244,266,240,1,Urban,Y
Female,Yes,2,Graduate,No,44060,15245,103,360,1,Urban,Y
Male,Yes,2,Graduate,No,109358,59125,74,300,1,Urban,Y
Female,Yes,3,Graduate,No,34683,44250,261,360,1,Rural,Y
Female,Yes,2,Graduate,No,84649,59954,300,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,77855,46718,221,180,1,Urban,Y
Female,No,3,Not Graduate,No,114761,3932,293,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,73242,23245,91,300,1,Urban,Y
Male,Yes,2,Not Graduate,No,39257,3892,79,360,1,Urban,Y
